Date,Close,High,Low,Open,Volume
8/24/2000,28.630867,29.00883068,28.44188224,28.44188224,5504410
8/25/2000,28.81985092,29.00883277,28.72535853,28.72535853,2227572
8/28/2000,28.7726078,29.05608207,28.53637973,28.819854,3043284
8/29/2000,29.05608749,29.1033337,28.44189264,28.77261317,3609427
8/30/2000,29.00884056,29.38680729,28.81985866,29.05608677,3230613
8/31/2000,29.44586182,30.09549056,28.96159333,29.00883954,4498327
9/1/2000,29.48129082,29.76476508,28.81985283,29.4458569,1997263
9/5/2000,29.19781685,29.81201157,29.15057065,29.48129111,3262240
9/6/2000,30.23722839,30.23722839,29.33956213,29.33956213,4412468
9/7/2000,31.37111664,31.37111664,29.95374541,30.23721966,4183781
9/8/2000,30.4262085,30.75692606,30.00099561,30.75692606,3328434
9/11/2000,30.18997574,30.37896053,29.62303013,30.37896053,2501064
9/12/2000,29.19781685,30.04823964,29.15057065,30.04823964,3294982
9/13/2000,30.23722839,30.23722839,29.33956213,29.33956213,3564521
9/14/2000,29.76477051,29.81201671,29.1033324,29.81201671,3105220
9/15/2000,29.62303162,30.09548778,29.33955734,29.76476729,5008008
9/18/2000,29.05608749,29.52854373,28.72536696,29.52854373,2673594
9/19/2000,28.96159363,29.10333224,28.34740173,29.05608604,3023619
9/20/2000,28.11117172,29.05608408,27.96943312,28.96159167,4411049
9/21/2000,28.06392479,28.53638095,27.96943239,28.11117099,3111505
9/22/2000,28.30015564,28.58362995,27.82769943,28.06392753,3798885
9/25/2000,28.39463806,28.81985088,28.20565621,28.3001486,2627471
9/26/2000,28.48913383,28.86710051,28.34739816,28.39464144,3172428
9/27/2000,28.39463806,29.00883274,28.34739479,28.48913045,2633958
9/28/2000,29.33955574,29.81201187,28.53637914,28.53637914,4137557
9/29/2000,28.91434479,29.62303196,28.6781167,29.33955767,4846021
10/2/2000,29.85926056,30.14273485,29.1033301,29.1033301,3629904
10/3/2000,29.71751785,30.33171255,29.67027166,29.85925644,4723568
10/4/2000,30.14273453,30.37896261,29.95374972,29.95374972,4143639
10/5/2000,31.18214798,31.37112992,30.23723246,30.23723246,5604257
10/6/2000,30.75691986,31.22937593,30.14272814,31.18213266,4213178
10/9/2000,30.94590759,31.04039706,30.66243334,30.75692281,3032742
10/10/2000,31.27661705,31.70182978,31.08763524,31.08763524,4949518
10/11/2000,30.47345924,31.41837473,30.28447732,31.27663609,5266396
10/12/2000,29.48129082,30.42620599,29.29230895,30.42620599,5238925
10/13/2000,30.04824066,30.28446873,28.7726079,29.48129212,5812570
10/16/2000,28.91434479,29.57578576,28.34739914,29.57578576,5116168
10/17/2000,26.78830147,28.6308835,25.8906321,28.6308835,8387937
10/18/2000,26.83553886,27.16625939,25.32367777,26.78829558,9473492
10/19/2000,26.41032028,27.21349678,26.03235659,26.83553016,5555601
10/20/2000,27.49696922,28.11116383,25.93786252,26.41031857,6058794
10/23/2000,27.35523796,27.73320169,27.02451751,27.49697363,3605778
10/24/2000,27.35523796,27.82769408,26.88277892,27.35523796,4140091
10/25/2000,26.31583405,26.97727504,25.93787027,26.97727504,3745261
10/26/2000,26.55205345,26.8355247,26.12684073,26.31582254,5493462
10/27/2000,25.93786621,26.31582993,25.60714576,26.31582993,4566650
10/30/2000,26.36307716,27.44972802,25.55990057,25.93786723,4315560
10/31/2000,27.0717659,27.1190121,25.7488869,26.36307874,5288799
11/1/2000,27.68595505,27.9694293,26.31582998,27.07176327,5135935
11/2/2000,28.20565796,28.44188602,27.68595564,27.68595564,4406386
11/3/2000,28.7726078,28.91434348,27.96943119,28.20565926,4422504
11/6/2000,28.20565796,28.81985267,27.9694299,28.77260647,2929448
11/7/2000,28.06392479,28.11117099,27.59146863,28.11117099,2616929
11/8/2000,27.87494278,28.7253627,27.82769658,28.06392466,3870046
11/9/2000,23.52833939,25.32367301,23.29210986,25.32367301,25795236
11/10/2000,23.95354843,24.3315136,23.5755818,23.5755818,13461632
11/13/2000,23.00864029,23.67007985,22.67791978,23.67007985,11857577
11/14/2000,23.38660431,24.00079764,23.15037622,23.15037622,7006994
11/15/2000,24.0480423,24.56774319,23.52833995,23.52833995,6091130
11/16/2000,23.33935547,24.28426918,22.96139027,24.04804112,4125900
11/17/2000,22.81965256,23.57558293,22.44168737,23.33935487,6240345
11/20/2000,22.58342552,23.05588166,22.34719745,22.81965359,4915661
11/21/2000,22.20545959,22.29995053,21.59126635,22.29995053,5934921
11/22/2000,21.96923828,22.1582202,21.54402677,22.1582202,4973847
11/24/2000,22.48893356,22.63067069,21.59126607,21.96923125,3157121
11/27/2000,22.63066864,23.10312471,22.3944406,22.48893153,4937557
11/28/2000,22.58342552,23.00863692,22.34719745,22.63067172,4968069
